D1,D2,D3,Eta_arrivo_Italia,D7,D8,D9,D9b,D10,D11,D12,D20a,D23,D25,D26,D27a,D27b,D29,D32,D35a,D35b,D35c,D35d,D35e,D35f,D35g,D36
1,1970,1,35,409,2,1,,3,1,3,2,1,5,1200,100,150,60,1200,2,2,2,2,2,2,2,2
2,1981,1,25,254,2,4,2,4,2,1,2,2,4,2500,200,200,40,1100,1,2,2,2,2,2,2,2
2,1984,1,28,201,4,2,3,3,2,4,1,98,2,900,0,0,25,600,1,2,2,2,2,2,2,2
1,1982,1,27,235,1,4,1,5,3,2,0,2,2,2500,0,0,50,1600,1,2,2,2,2,2,2,2
1,1961,1,42,235,2,4,1,4,3,2,5,1,6,1500,0,0,45,1500,1,2,2,2,2,2,2,2
1,1979,1,26,272,2,3,2,4,1,3,3,1,1,1500,500,500,50,1500,1,2,1,2,2,2,2,2
1,1972,1,30,443,2,3,4,4,1,3,3,1,5,1600,0,50,45,1600,2,2,1,2,2,2,2,1
1,1972,1,28,201,2,3,2,5,1,1,2,1,6,2500,0,100,45,1700,1,2,1,2,2,2,2,2
1,1995,1,17,311,1,3,3,4,2,4,0,98,2,2000,0,1000,40,1200,2,2,2,2,2,2,2,2
1,1972,1,33,423,2,1,,3,2,4,4,1,6,1000,0,0,5,500,1,1,2,2,2,2,1,1
1,1970,1,38,423,2,4,4,4,2,3,4,1,6,1600,0,100,45,1600,1,2,1,2,2,2,2,1
1,1984,1,20,272,2,3,3,3,1,3,2,1,4,1400,0,100,45,1400,1,2,1,2,2,2,2,2
1,1968,1,34,450,2,5,3,4,1,3,3,1,5,1500,0,100,45,1500,1,2,1,2,2,2,2,1
2,1975,1,28,423,4,4,4,4,2,3,3,98,4,900,50,50,35,900,1,2,2,2,2,2,2,1
1,1977,1,24,272,2,3,2,4,1,3,2,1,4,2000,0,200,45,1600,2,2,1,2,2,2,2,1
1,1976,1,23,419,2,2,3,4,1,3,2,1,4,1200,0,50,40,1200,2,1,2,2,2,2,2,1
1,1999,1,14,419,1,3,3,4,1,4,0,98,6,1800,0,0,30,500,2,2,2,2,2,2,2,2
2,1987,1,22,431,2,3,2,3,1,4,4,1,6,1000,0,0,10,400,1,2,1,2,2,2,2,1
1,1969,1,29,436,2,3,3,4,1,1,3,1,6,2000,0,0,45,2000,1,2,1,2,2,2,2,1
1,1980,1,20,413,2,2,3,4,3,3,3,1,5,2000,0,100,50,1500,1,2,2,2,2,2,2,2
1,1986,1,23,272,1,3,2,5,1,3,0,98,1,1500,200,200,45,1500,2,2,2,2,2,2,2,2
1,1972,1,27,450,2,2,3,4,1,3,3,1,5,1700,0,50,45,1400,1,1,1,2,2,2,2,2
2,1990,1,16,254,2,5,,5,3,3,1,3,3,2000,100,100,6,400,1,1,2,2,2,2,2,1
1,1987,1,20,344,2,4,3,3,1,3,2,1,4,1500,0,100,40,1500,1,2,2,2,1,2,2,1
1,1998,1,9,436,1,4,,5,1,1,0,98,5,2500,0,250,12,500,2,2,2,2,2,2,2,2
1,1984,1,18,436,2,3,2,4,1,3,2,1,4,2000,0,200,20,2000,2,2,2,2,2,2,2,2
1,1972,1,27,460,2,3,3,4,1,1,3,1,5,1700,0,50,40,1700,1,2,1,1,2,2,2,1
2,1976,1,24,235,4,5,3,5,3,1,2,2,4,2300,100,100,40,1400,1,2,1,1,2,2,2,1
1,1972,1,27,235,2,5,4,4,3,1,3,1,6,2000,0,0,45,1500,2,2,2,2,2,2,2,1
2,1968,1,44,243,4,5,3,4,3,5,2,2,1,1000,500,500,50,1000,1,2,1,2,2,2,2,1
1,1979,1,22,305,2,5,2,4,1,3,3,1,5,2200,0,200,48,1800,2,2,2,2,2,2,2,2
